"Name","mmax","Mmax","z","dL (Mpc)"
"SN2001bw","19.8","-17.8","0.074","346"
"SN1993al","22.6","-17","0.18","900"
"PS1-12bku","19.98","-18.2","0.096,0.096","455"
"SDSS-II SN 18893","","","0.193,0.176","972.1"
"SDSS-II SN 13064","","","0.228,0.2234","1144.9"
"SN2007qr","19.96","-18.9998","0.135691,0.14","660.066"
"AT2013jv","18.5","-18.2","0.048","220"
"SDSS-II SN 21356","21.57","-18.55","0.228,0.206","1171"
"SN2005ad","15.63","-16","0.005398","20"
"SDSS-II SN 20405","20.93","-19.43","0.254,0.228","1324"
"SN2007jc","20.14","-20.202","0.2516","1309.5"
"SDSS-II SN 21272","20.89","-15.222","0.03735","169.98"
"SDSS-II SN 13062","21.31","-20.1649","0.416357","2347.31"
"PSc310050","22.79","-19.332","0.55586","3314.25"
"SN2019wrx","18.94","-17.155","0.03706","168.62"
"AT2019pqh","20.31","-18.6217","0.133994","651.112"
"SDSS-II SN 4181","20.98","-19.6749","0.289167","1535.06"
"SDSS-II SN 18202","21","-17.9066","0.132487","643.175"
"DES15S2dye","23.1","-17.3","0.26","1360"
"SDSS-II SN 16546","21.55","-19.637","0.366312","2019.18"
"SDSS-II SN 2621","21.41","-19.5","0.324,0.284","1750"
"SDSS-II SN 10450","21.41","-19.11","0.272","1431"
"SN2005ll","20.67","-19.6","0.244,0.258","1265"
"SDSS-II SN 20914","21.42","-18.0979","0.174234","867.874"
"DES14S2qri","23.2","-21.1","1.5","11200"
"SDSS-II SN 16175","","","0.329556","1785.12"
"SDSS-II SN 13750","21.2","-19.7655","0.331974","1800.33"
"AT2019sxu","20.08","-19.55","0.183","916.3"
"SN2019mbr","18.12","-17.7","0.032","145"
"SN2017hdw","18.43","-18.13","0.0458","209.7"
"SDSS-II SN 14577","21.67","-18.175","0.201637","1020.66"
"SN2006hu","20.3","-18.62","0.133,0.142","645.9"
"SDSS-II SN 20844","21.91","-19.7609","0.454329","2603.17"
"SDSS-II SN 2630","21.48","-19.6091","0.35072","1919.15"
"SN2018ikr","18.95","-18.2","0.0599","277"
"SDSS-II SN 16547","21.41","-19.7447","0.361097","1985.61"
"PTF11jle","19.4","-20.6","0.22","1130"
"SDSS-II SN 17107","22.33","-17.4311","0.19423","978.96"
"SDSS-II SN 2080","21","-17.3581","0.103514","493.187"
"SDSS-II SN 7721","21.28","-19.28","0.277,0.247,0.302","1461"
"SN2019mjy","19.21","-17.1","0.041","187"
"DES17S2lg","22.2","-18.81","0.339","1845"
"PS1-14alt","20.43","-14.12","0.0183","82.12"
"SDSS-II SN 6861","21.27","-18.4541","0.191046","961.125"
"SN2002gn","19.8","-16.7","0.044,0.044","201"
"SN2019eke","19.03","-18.1155","0.059791","276.505"
"SN2006ps","19.13","-19.17","0.101","480.4"
"SN2020afo","18.57","-19.4","0.086","405"
"DES12S2a","21.3","-17.29","0.115","552.1"
"SN2003gm","17","-14.6","0.0047","20.9"
"SN2007qv","20.09","-18.0649","0.094444,0.1","447.268"
"SDSS-II SN 8165","21.69","-19.19","0.319,0.319","1719"
"SDSS-II SN 4866","20.76","-20.495","0.377549","2091.93"
"SDSS-II SN 7600","20.8","-18.889","0.188077","944.544"
"SDSS-II SN 2063","20.21","-19.5361","0.192931","971.677"
"SDSS-II SN 14015","21.54","-19.4","0.328,0.286","1775"
"SN2006oh","19.82","-19.8","0.182,0.183","910.8"
"SN2015bd","15.9","-18.69","0.0186","83.49"
"SN2007jf","20.57","-16.9043","0.069414","323.172"
"SDSS-II SN 14500","21.78","-19.6237","0.403372","2261.16"
"AT2012it","19.2","-18.2","0.068","316"
"SDSS-II SN 14579","22.14","-20.01","0.562,0.454","3358"
"SDSS-II SN 8160","21.7","-19.7302","0.408152","2292.79"
"SN210","19.49","-17.276","0.0514,0.05031","231.1"
"SDSS-II SN 16039","21.68","-20.1","0.477,0.397","2759"
"SDSS-II SN 11501","","","0.362703","1995.93"
"SN2005hs","21.32","-19.08","0.258","1347"
"SN2019amo","18.19","-18.778","0.05515","254.21"
"SDSS-II SN 5781","21.78","-17.67","0.169,0.156","839.2"
"PSc540228","22.2","-19.5155","0.46346","2665.54"
"SDSS-II SN 14505","20.97","-20.08","0.345","1883"
"SN2007jw","19.96","-19.02","0.1369","666.46"
"SDSS-II SN 13740","","","0.241,0.2415","1250.1"
"PS1-11apd","","","0.043,0.043","196"
"PS15ckb","20.76","-19.45","0.237","1224"
"SDSS-II SN 16044","21.98","-19.4509","0.408288","2293.69"
"SDSS-II SN 2871","21.99","-18.6887","0.292252","1553.89"
"AT2018jpp","19.41","-16.3286","0.031493","142.71"
"SDSS-II SN 13106","21.37","-17.0447","0.106187","506.815"
"AT2020agy","19.8","-19.6","0.165","817.3"
"SDSS-II SN 2615","20.51","-16.5123","0.056538","260.862"
"SN2007aa","14.27","-17.5","0.004887","23"
"SDSS-II SN 21351","21.5","-19.64","0.358","1966"
"SDSS-II SN 2078","20.98","-19.9292","0.323773","1748.85"
"PSN J01340299-0104458","16.3","-17.899","0.015561","69.6859"
"SDSS-II SN 15802","20.63","-20.401","0.3417","1861.8"
"AT2017gti","17.91","-18.6184","0.045156","206.663"
"SDSS-II SN 13432","","","0.228542","1174.6"
"SDSS-II SN 6556","21.05","-19.3504","0.258234","1348.84"
"SN2019lsu","17.08","-18.8","0.033","150"
"DES17S2ebs","22.2","-18.57","0.304","1626"
"SDSS-II SN 3871","20.55","-21.4956","0.537152","3180.43"
"SN2006on","18.66","-18.8924","0.071915","335.396"
"SN2007mz","20.97","-19.192","0.2322","1195.8"
"SN2005mj","21.53","-18.4","0.21,0.21","1070"
"SDSS-II SN 20909","","","0.162191","802.038"
"SDSS-II SN 14438","21.19","-19.529","0.297526","1586.18"
"SN2006gd","20.31","-18.9444","0.154856","762.34"
"SDSS-II SN 4864","21.77","-17.2126","0.137086","667.439"
"SDSS-II SN 13474","","","0.328","1775"
"SDSS-II SN 2079","22.09","-18.6964","0.306576","1641.9"
"SDSS-II SN 16104","20.33","-22.27","0.691,0.534","4315"
"SN2006kb","19.75","-19.267","0.1392","678.63"
"SN2005ij","19.59","-19.1779","0.12462,0.124488","601.268"
"SDSS-II SN 20915","22.4","-19.58","0.522","3073"
"SN2007rs","19.63","-19.133","0.1242","599.77"
"CSS150918:002028-010341","18.3","-19","0.064","297"
"SDSS-II SN 20397","20.91","-19.92","0.312,0.276","1675"
"SDSS-II SN 21347","21.9","-19.9251","0.486695","2825.71"
"SDSS-II SN 15606","21.71","-19.6931","0.403253","2260.37"
"SN2006kt","20.8","-19.73","0.274,0.226,0.231,0.297,0.254","1443"
"SN2005ik","21.42","-19.4","0.31,0.31","1660"
"SDSS-II SN 14093","21.8","-19.8683","0.453804","2599.59"
"SDSS-II SN 17577","21.36","-19.25","0.283","1498"
"SN2006nn","20.47","-19.2","0.19","955"
"SN2006of","19.98","-19.2724","0.154716","761.585"
"SDSS-II SN 16739","21.29","-19.174","0.265638","1392.98"
"SDSS-II SN 9239","21.83","-19.79","0.445,0.375","2540"
"SDSS-II SN 12936","21.36","-18.373","0.194,0.1918","965.34"
"SDSS-II SN 17498","20.92","-21.437","0.617818","3765.91"
"SDSS-II SN 15455","22.06","-19.3642","0.407071","2285.63"
"SDSS-II SN 16103","20.74","-19.113","0.2024","1025"
"SDSS-II SN 21709","20.78","-18.53","0.159","784.7"
"SN2006ck","17.5","-17.56","0.02443,0.024","104"
"PSc420171","22.23","-19.1969","0.40755","2288.8"
"SN1991bc","16","-18.889","0.02135","96.025"
"SDSS-II SN 13497","21.81","-19.5511","0.395788","2211.16"
"SDSS-II SN 18262","20.6","-18.4017","0.13827","673.706"
"SDSS-II SN 17831","20.92","-17.562","0.109457","523.544"
"SN2007jt","19.93","-19.175","0.1448","708.41"
"SDSS-II SN 19772","20.57","-18.9596","0.175149","872.909"
"SDSS-II SN 13659","21.1","-19.54","0.287,0.255","1522"
"SDSS-II SN 3514","20.85","-19.6018","0.264211","1384.46"
"SDSS-II SN 4966","21.42","-19.412","0.3128","1680.4"
"SN2005ga","20.22","-19.3001","0.1742,0.174404","868.809"
"SN2002bt","17.9","-19","0.06","280"
"SDSS-II SN 15080","21.85","-18.56","0.259,0.232","1353"
"SDSS-II SN 17374","20.5","-19.8459","0.252054","1312.21"
"SN2007nd","21.29","-19.15","0.263,0.255","1377"
"SN2006gk","21.13","-19.5582","0.293488","1561.44"
"SN2006pb","20.7","-18.8262","0.174885","871.456"
"SN2006nl","20.81","-18.96","0.195,0.19,0.19,0.18","983.3"
"SDSS-II SN 13646","21.28","-19.498","0.305435","1634.86"
"AT2019plo","20.38","-16.07","0.0436","199.3"
"SN2007hz","19.68","-19.338","0.1393","679.16"
"SDSS-II SN 9740","20.98","-19.24","0.238","1230"
"SDSS-II SN 12840","21.73","-19.2847","0.339305","1846.61"
"SN2001eu","19.4","-19.5524","0.13524","657.685"
"SN2018bfc","16.9","-19.0233","0.034266","155.591"
"SN2005hm","19.05","-16.9061","0.034782","157.994"
"SN2007mf","20.91","-18.997","0.2073","1052.7"
"MLS140102:120307-010132","","","0.06","280"
"CSS140426:171938-010130","17.3","-18.5708","0.033453","151.81"
"AT2018ibt","19.38","-19.0032","0.104691","499.182"
"SN2006ky","20.42","-19.22","0.184,0.183","921.9"
"SDSS-II SN 13677","22.25","-18.5224","0.304671","1630.14"
"SDSS-II SN 779","21.11","-19.104","0.2377","1227.9"
"SDSS-II SN 4248","21.28","-18.2015","0.171418","852.407"
"LSQ13yd","18.2","-19","0.05","230"
"SDSS-II SN 4236","21.3","-19.74","0.3432","1871.3"
"SDSS-II SN 14347","21.02","-19.69","0.296,0.298,0.263","1577"
"SDSS-II SN 5209","22.1","-18.5165","0.284278","1505.32"
"SN2006ez","19.32","-18.7","0.0887","418.4"
"SDSS-II SN 4757","21.94","-19.6409","0.436471","2482.12"
"SN2007kn","21.32","-18.69","0.217","1108"
"SN2007ms","18.6","-17.6","0.039","178"
"SN2001ij","20.7","-15.4","0.038,0.038","173"
"SN2007md","19.94","-17.0067","0.05458,0.054626","251.7"
"SN2006er","19.51","-18.3877","0.084083","395.428"
"SDSS-II SN 3488","20.92","-18.4","0.16,0.16","790"
"SDSS-II SN 841","21.47","-19.261","0.2991","1595.8"
"DES15S2og","22.9","-18.4","0.385","2140"
"SDSS-II SN 3063","19.53","-18.5602","0.091725","433.6"
"SDSS-II SN 1775","21.61","-19.1565","0.303881","1625.27"
"SN2016aws","19.86","-16.6","0.043","196"
"SDSS-II SN 21496","21.6","-20.6473","0.588037","3547.23"
"SDSS-II SN 7892","","","0.101","480.4"
"PTF13dpz","19.3","-19","0.1","480"
"SN2006nd","19.82","-19.023","0.12876,0.1288","623.603"
"SN2000bc","18.9","-10.4","0.0016","7.09"
"SDSS-II SN 11142","21.33","-18.8872","0.238017","1229.71"
"SDSS-II SN 14346","21.82","-18.151","0.213291","1086.87"
"SN2007jl","20.95","-19.415","0.2542","1324.9"
"iPTF14emu","20.1","-18","0.1","480"
"SDSS-II SN 5142","21.12","-19.71","0.312,0.276","1675"
"SN2007qd","20.2","-16.2285","0.043147,0.043357","197.183"
"SDSS-II SN 6225","21.7","-19.3033","0.337597","1835.8"
"SDSS-II SN 8978","21.83","-18.0438","0.204245","1035.41"
"SDSS-II SN 15773","21.9","-20.55","0.645,0.507","3968"
"SDSS-II SN 15120","22.19","-19.8457","0.534776","3163.52"
"SDSS-II SN 7258","21.58","-18.789","0.2546","1327.3"
"SDSS-II SN 4953","20.69","-19.4","0.22","1130"
"SN2006na","21.66","-19.11","0.305,0.284,0.359,0.364","1632"
"SN2007ma","19.08","-19.3645","0.107623","514.153"
"SN2004ig","20.6","-19.03","0.183,0.18,0.183","916.3"
"SDSS-II SN 5199","21.27","-18.7903","0.221952","1136.54"
"SDSS-II SN 11093","20.4","-20.03","0.262,0.234","1371"
"SN2006hs","21.56","-18.79","0.252","1312"
"SDSS-II SN 17487","21.32","-14.532","0.033168","150.485"
"SN2019dfv","18.94","-19","0.09","420"
"SN2002ck","15.6","-19.96","0.029864","131"
"SDSS-II SN 5524","21.23","-19.5","0.299","1595"
"SN2006oj","21.64","-19.33","0.332,0.498","1800"
"SDSS-II SN 15081","21.84","-17.7782","0.18222","911.976"
"AT2001kz","19.1","-17.7","0.052","239"
"SDSS-II SN 18254","21.72","-19.1624","0.319944","1724.92"
"SDSS-II SN 18984","22.04","-17.216","0.154964","762.922"
"SDSS-II SN 21015","21.73","-19.217","0.329251","1783.2"
"SN2006hf","20.63","-19.4","0.219,0.195","1120"
"SN2006fa","20.39","-19.0365","0.167253","829.612"
"SDSS-II SN 4245","","","0.141,0.131","688.2"
"SDSS-II SN 3506","20.68","-19.27","0.211,0.189,0.173","1074"
"SN2006nv","20.69","-19.9389","0.285857","1514.91"
"SN2005gc","20.22","-19.183","0.1646,0.16551","820.101"
"SN2010gq","16.5","-18.03","0.0181","81.21"
"SDSS-II SN 19467","21","-19.75","0.302,0.135,0.126","1614"
"SDSS-II SN 5311","21.14","-19.39","0.274,0.245","1443"
"SN2000af","19.8","-19.1","0.13,0.13","630"
"SDSS-II SN 19769","21.02","-19.33","0.252512","1314.91"
"SN2006ew","20.02","-19.005","0.1397","681.28"
"PSc310009","22.33","-19.6248","0.51575","3028.84"
"SN2005if","18.71","-18.6886","0.06709,0.067072","311.76"
"SN1996at","20.5","-18","0.09","420"
"AT2002ma","19.4","-17.89","0.0639","296.4"
"SDSS-II SN 7919","20.94","-19.938","0.319315","1720.99"
"SDSS-II SN 18267","20.45","-16.4723","0.054025","248.824"
"SDSS-II SN 20773","20.45","-16.4723","0.054025","248.824"
"AT1999hb","20.7","-17.2","0.083","390"
"SDSS-II SN 15236","","","0.382734","2125.68"
"SN2007qq","20.99","-19.23","0.238,0.242,0.305,0.307","1230"
"SN2019lve","18.99","-18.76","0.0786","368.3"
"SDSS-II SN 5286","21.16","-18.4915","0.184953","927.149"
"SDSS-II SN 3175","20.97","-19.0818","0.22111","1131.69"
"SN2007og","20.42","-19.45","0.204","1034"
"SDSS-II SN 10991","21.54","-18.94","0.267,0.238","1401"
"SN2005in","20.43","-19.54","0.2132","1086.4"
"PS15aw","18.71","-19.2","0.085","400"
"SDSS-II SN 4669","21.23","-19.08","0.248,0.142,0.223","1288"
"PSc180344","22.41","-19.0274","0.40946","2301.46"
"SN2010ke","17.8","-18.6","0.042,0.042","192"
"SDSS-II SN 22006","20.91","-20.4492","0.395454","2208.97"
"SDSS-II SN 18251","21.79","-17.9375","0.19134","962.769"
"SDSS-II SN 15093","22.2","-19.12","0.388,0.334","2160"
"SN1996bh","22.8","-18.7","0.43","2440"
"SN2007ih","20.65","-18.821","0.1706","847.92"
"PSc090097","22.02","-19.5225","0.42908","2432.39"
"SDSS-II SN 3517","21.3","-17.26","0.11337","543.649"
"SN2001il","20.4","-19.51","0.208,0.21,0.208","1057"
"SDSS-II SN 11927","21.21","-18.5555","0.194607","981.075"
"DES14S2dbi","21.7","-18.5","0.236","1218"
"SDSS-II SN 15511","21.39","-18.99","0.256,0.251,0.225","1336"
"SN2007ph","20.53","-18.1","0.117","562.4"
"SDSS-II SN 19208","21.15","-18.8428","0.215372","1098.77"
"SDSS-II SN 14343","20.96","-20.0794","0.343052","1870.36"
"SDSS-II SN 16160","21.78","-19.1054","0.320367","1727.56"
"SN2006qc","20.78","-19","0.2,0.2","1000"
"PSc090201","22.274","-19.7","0.51,0.51","2990"
"SDSS-II SN 17395","21.27","-19.4879","0.30272","1618.11"
"SDSS-II SN 18884","21.05","-18.21","0.155,0.54","763.1"
"SN2019yyf","18.44","-18","0.043","196"
"SN2007ix","20.44","-19.53","0.2132","1086.4"
"SN2003cn","17.92","-16.9","0.01808,0.01919","91"
"SDSS-II SN 20065","21.72","-19.0902","0.309838","1662.08"
"SN2007qb","19.78","-17.979","0.0793,0.07897","370.09"
"SN2007qo","20.64","-19.381","0.2181","1114.4"
"SDSS-II SN 19221","20.47","-16","0.043","196"
"SN2017hnq","18.96","-19.49","0.108","516.1"
"SN1996ba","23.5","-19","0.66","4080"
"SDSS-II SN 20367","21.58","-17.4","0.137","667"
"SDSS-II SN 4737","21.72","-20.005","0.465436","2679.08"
"SDSS-II SN 14357","21.91","-19.55","0.414,0.471,0.395","2332"
"SN1996bd","21.6","-19","0.28","1480"
"SN1999gf","18.2","-18.2884","0.044341","202.814"
"SDSS-II SN 13657","21.86","-18.55","0.259,0.232","1353"
"SDSS-II SN 8421","22.07","-19.7206","0.479268","2774.29"
"PSc440504","22.3","-18.9904","0.38354","2130.94"
"SDSS-II SN 15237","","","0.293","1558"
"SN2007jo","20.5","-19.151","0.1849","926.85"
"SDSS-II SN 14299","21.79","-18.139","0.2093","1064.1"
"SDSS-II SN 17393","21.22","-18.794","0.2174","1110.4"
"SN2016arq","17","-18.612","0.029722","134.51"
"SDSS-II SN 2235","21.66","-19.4106","0.347842","1900.81"
"SDSS-II SN 13280","20.95","-17.873","0.127606","617.559"
"SDSS-II SN 5247","21.71","-19.5435","0.377309","2090.37"
"SDSS-II SN 3497","20.88","-18.5388","0.166681","826.489"
"SN2005ko","20.8","-18.8655","0.1847,0.186112","933.596"
"SDSS-II SN 6362","21.55","-19.52","0.347,0.302","1895"
"SN2007oa","21.28","-19.124","0.2587","1351.6"
"SDSS-II SN 9020","21.85","-19.4059","0.377698","2092.9"
"SN2004ij","21.3","-18.72","0.218,0.22,0.218","1114"
"SDSS-II SN 5702","20.7","-19.36","0.222,0.242,0.218","1137"
"SDSS-II SN 15239","21.87","-19.1107","0.334228","1814.53"
"SDSS-II SN 18405","20.61","-19.59","0.236,0.222,0.201","1218"
"SDSS-II SN 7922","","","0.18257","913.917"
"SN2007om","19.1","-19.29","0.105,0.0997","500.8"
"SN2018ihx","19.55","-19.54","0.144","704.1"
"SDSS-II SN 13675","21.41","-19.27","0.292,0.296,0.263","1552"
"PS16dq","19.73","-19.6","0.16","790"
"SDSS-II SN 5690","22.58","-17.4854","0.222458","1139.45"
"PSc440162","21.86","-19.6344","0.41999","2371.54"
"SN2007je","20.33","-19.01","0.161,0.161","795.6"
"Gaia18bli","18.79","-16.3819","0.024303","109.547"
"SDSS-II SN 8196","20.66","-17.1281","0.080016","375.261"
"DES16S1agd","23","-18.9","0.504","2946"
"SDSS-II SN 11141","","","0.333177","1807.91"
"SDSS-II SN 18253","21.2","-19.3869","0.280569","1482.83"
"DES17S1lu","21.4","-16.5","0.084","395"
"SDSS-II SN 19484","22.15","-18.3275","0.267246","1402.61"
"SDSS-II SN 16241","","","0.097566","463.017"
"SDSS-II SN 6968","","","0.098247","466.46"
"DES14S2qb","22.1","-18.1","0.24","1240"
"SN2018jpw","18.66","-19","0.09","420"
"SN2005gu","21.24","-19.7","0.33,0.33","1790"
"SDSS-II SN 19375","22.02","-17.3396","0.162322","802.75"
"SDSS-II SN 20366","22.02","-17.3388","0.162261","802.418"
"SN2006ll","20.83","-20.45","0.382,0.38","2121"
"SDSS-II SN 11996","","","0.286703","1520.06"
"SN2006la","20.43","-18.38","0.127,0.146,0.167","614.4"
"SN2007sg","20.35","-19.3302","0.187342","940.447"
"SDSS-II SN 16230","21.87","-20.7346","0.690995","4315.06"
"SDSS-II SN 15367","21.95","-17.724","0.186822","937.55"
"SN2007hx","19.05","-18.7063","0.078873,0.079443","369.611"
"SDSS-II SN 764","21.78","-17.897","0.187068","938.92"
"SDSS-II SN 1773","21.04","-17.6497","0.120184","578.876"
"SN2007ko","20.8","-19.09","0.206,0.21,0.21,0.21","1045"
"SDSS-II SN 18951","21.1","-18.2832","0.164046","812.126"
"SDSS-II SN 2236","21.2","-19.166","0.254312","1325.57"
"SDSS-II SN 6055","21.72","-19.69","0.404,0.606,0.484","2265"
"SN2004ht","21.1","-16.3","0.067,0.067","311"
"SDSS-II SN 8195","21.21","-19.2802","0.269,0.268761","1411.69"
"SDSS-II SN 14338","21.91","-17.1548","0.142241","694.782"
"PS15cjz","19.38","-20.7","0.22","1130"
"SN2007ra","18.89","-19.1375","0.089163","420.763"
"SDSS-II SN 10976","20.34","-17.8419","0.095606","453.123"
"SN2002gz","18.2","-19.7","0.085,0.085","400"
"SDSS-II SN 19209","20.9","-17.9365","0.128384","621.633"
"SDSS-II SN 18789","21.71","-19.0736","0.306192","1639.53"
"SN2006hr","20.11","-19.19","0.158,0.139,0.165,0.166","779.3"
"PSc540251","21.93","-18.7909","0.29778","1587.74"
"PSc550200","21.42","-18.9435","0.25403","1323.9"
"SN2005fy","20.69","-19","0.2,0.2","1000"
"SN2006ph","20.83","-19.52","0.253,0.255","1318"
"SDSS-II SN 15505","21.74","-19.92","0.453,0.381","2594"
"SDSS-II SN 13932","22.02","-17.6255","0.184459","924.404"
"SDSS-II SN 1740","20.31","-19.1216","0.167,0.167636","831.704"
"SN2019wbd","17.33","-16.7252","0.014568","65.1904"
"SN2004hx","17.2","-16.8","0.014,0.014","62.6"
"SN2005eg","20.44","-19.288","0.19152,0.191381","962.999"
"Gaia18ayc","18.93","-17.1023","0.036013","163.732"
"SDSS-II SN 4240","21.78","-19.9533","0.467156","2690.88"
"SDSS-II SN 9739","20.49","-18.1861","0.119451","575.073"
"SN2005ex","19.03","-19.0986","0.0935,0.093331","441.667"
"SN2001fg","17.9","-17.849","0.0311,0.03164,0.031,0.0311","143.39"
"SN2006oc","21.15","-19.2","0.253","1318"
"SDSS-II SN 15772","20.56","-19.6841","0.240884","1246.48"
"SN2018ggt","18.36","-18.12","0.0442","202.1"
"SN2006pk","20.69","-19.6579","0.25227","1313.48"
"SDSS-II SN 15769","21.75","-17.8489","0.18066","903.333"
"SDSS-II SN 13286","20.71","-17.218","0.08523","401.13"
"SDSS-II SN 5590","21.8","-19.8386","0.447846","2559.08"
"SN2016ezh","14.79","-23","0.08","380"
"DES14S1aoz","23.2","-18.79","0.525","3094"
"SDSS-II SN 11156","21.21","-19.5947","0.309079","1657.38"
"SN2019wka","16.92","-19","0.04","180"
"SDSS-II SN 18947","21.9","-19.2611","0.362111","1992.12"
"SDSS-II SN 17312","20.27","-16.8292","0.058548","270.52"
"SN2016elw","20.15","-19.21","0.162","801"
"PSc100083","22.49","-18.913","0.40325","2260.35"
"SN2013er","17.4","-16.9","0.016","71.7"
"SN2007ns","21.74","-19.56","0.386","2147"
"SDSS-II SN 19246","22.12","-18.8674","0.335217","1820.77"
"PSc071245","22.32","-19.4698","0.47909","2773.06"
"SN2004if","21.5","-19.4","0.322,0.32,0.322","1738"
"SDSS-II SN 10672","20.71","-17.2107","0.084961","399.796"
"DES16S1cps","23.2","-17.33","0.274","1443"
"SDSS-II SN 17493","21.26","-19.4794","0.300246","1602.89"
"SDSS-II SN 822","20.97","-19.2428","0.237556","1227.02"
"SN2019rmr","18.5","-18.89","0.0667","310"
"SDSS-II SN 19465","21.43","-19.18","0.283,0.253","1498"
"SDSS-II SN 14340","21.1","-19.4617","0.277441","1463.92"
"PSc080693","22.19","-18.8802","0.34778","1900.41"
"SDSS-II SN 17191","20.76","-20.53","0.383,0.329","2127"
"SDSS-II SN 16163","20.86","-18.3971","0.155,0.155041","763.337"
"AT2018jrx","18.98","-19.0527","0.089376","421.828"
"SN1956D","19.2","-15.3","0.018","80.8"
"SDSS-II SN 19377","21.88","-19.3991","0.381631","2118.49"
"SDSS-II SN 18948","22.63","-17.8122","0.263077","1377.69"
"PTF13dqa","20.6","-18.7","0.16","790"
"SDSS-II SN 4968","20.95","-18.666","0.182045","911.006"
"SDSS-II SN 2234","21.43","-16.4032","0.081665","383.426"
"PTF11oyn","19.7","-18.97","0.119","572.7"
"SN2006po","20.42","-19.104","0.1747","870.44"
"SDSS-II SN 15454","20.94","-20.347","0.3829","2126.8"
"SDSS-II SN 15895","21.87","-17.8331","0.189261","951.15"
"SDSS-II SN 19205","20.9","-20.083","0.3346","1816.9"
"SDSS-II SN 14654","21.73","-19.5509","0.381922","2120.39"
"SDSS-II SN 19468","20.41","-22.12","0.669,0.522","4148"
"SN2019kcx","15.98","-19.3","0.025","113"
"SN2017gaw","18.28","-17.877","0.03813","173.62"
"SN2006oa","17.79","-19.4556","0.062573","289.936"
"SN2005ic","21.3","-19.18","0.268","1407"
"SDSS-II SN 16439","21.72","-19.6452","0.396513","2215.93"
"SDSS-II SN 1903","20.3","-17.7518","0.090148","425.693"
"PS1-11ava","","","0.083","390"
"DES15S2eaq","22.2","-15.2","0.068","316"
"SN2006fy","18.88","-18.98","0.08268","388.46"
"SDSS-II SN 3746","","","0.1956","986.65"
"SN2019abu","18.36","-17.7025","0.036513","166.066"
"SDSS-II SN 3669","20.72","-20.75","0.415,0.353","2338"
"SN2007kr","20.95","-19.65","0.282,0.239,0.356","1491"
"SDSS-II SN 15633","21.19","-20.4645","0.451021","2580.65"
"SDSS-II SN 15324","20.98","-20.364","0.392801","2191.54"
"SDSS-II SN 8457","21.97","-20.22","0.572,0.463","3431"
"SDSS-II SN 21069","22.08","-19.6827","0.473334","2733.36"
"SDSS-II SN 17423","21.18","-19.2799","0.265158","1390.12"
"SN2007sl","19.04","-19.09","0.0935","442.5"
"SN2019xt","18.4","-17.4","0.032","145"
"AT2020aqs","18.45","-16.1166","0.018418","82.657"
"SDSS-II SN 4612","22.16","-19.1963","0.394945","2205.62"
"PSc200050","22.81","-18.2998","0.35395","1939.79"
"SDSS-II SN 14671","21.74","-19.4788","0.371526","2052.87"
"SDSS-II SN 17829","21.99","-18.98","0.332","1800"
"SN2005im","20.64","-18.0515","0.120282","579.384"
"SDSS-II SN 21612","21.67","-17.9169","0.179696","897.999"
"SDSS-II SN 15806","21.72","-18.65","0.255,0.258","1330"
"SDSS-II SN 14591","22.64","-18.84","0.417,0.356","2352"
"SN2010ka","19.3","-20.11","0.166,0.17,0.166","822.8"
"PS1-10ayl","22.956","-18.7","0.46","2640"
"AT2016cph","18.54","-16.138","0.01938","87.037"
"PTF09cjq","18.28","-16.4","0.019","85.3"
"SDSS-II SN 11334","20.04","-19.0829","0.145992","714.775"
"SN2007ou","20.22","-18.66","0.131","635.4"
"SN2005hq","21.87","-19.52","0.401","2245"
"SDSS-II SN 14074","21.6","-18.8323","0.26192","1370.78"
"PSc190260","19.86","-19.2259","0.145,0.14359","701.963"
"SDSS-II SN 10448","","","0.43386","2464.53"
"SDSS-II SN 13510","21.62","-18.7476","0.254494","1326.65"
"SDSS-II SN 8128","21.79","-19.8075","0.439722","2504.06"
"SDSS-II SN 8053","21.79","-18.49","0.245","1271"
"SDSS-II SN 7024","22.01","-19.0027","0.339001","1844.68"
"SDSS-II SN 10480","21.19","-17.96","0.148","725.5"
"SN2000ag","19.8","-19.1","0.13","630"
"SDSS-II SN 17943","21.03","-20.0169","0.344193","1877.6"
"SDSS-II SN 14113","20.83","-19.4274","0.242319","1254.89"
"PSc310185","22.92","-19.4697","0.62698","3833.76"
"SN1999P","21.8","-15","0.06,0.06","280"
"SDSS-II SN 13784","21.38","-19.03","0.259,0.232","1353"
"SDSS-II SN 7339","21.62","-19.1717","0.307303","1646.4"
"SDSS-II SN 5879","","","0.153204","753.441"
"SDSS-II SN 14444","21.02","-19.2706","0.245916","1276.01"
"SN2019oyz","18.21","-18.7","0.054","249"
"SDSS-II SN 17586","21.35","-19.1766","0.273141","1438"
"SDSS-II SN 18479","20.92","-19.68","0.29,0.282,0.25","1491"
"SDSS-II SN 20923","21.73","-20.54","0.595,0.478","3598"
"SDSS-II SN 6326","20.91","-19.159","0.2228","1141.4"
"SN2005lg","21.65","-19.14","0.307,0.472,0.481","1645"
"SDSS-II SN 16626","22.23","-18.3649","0.281567","1488.88"
"SDSS-II SN 13778","22.21","-19.8159","0.532422","3146.78"
"SDSS-II SN 15137","21.32","-19.2536","0.278904","1472.76"
"PSc550067","20.67","-19.005","0.1869","937.98"
